time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T08:31:01.050Z,-19.7194,-69.4141,86.57,4.7,mb,,59,0.213,0.77,us,us2000i7cy,2019-01-21T16:42:52.040Z,"93km NE of Iquique, Chile",earthquake,6.1,5.2,0.05,121,reviewed,us,us
2018-11-05T01:26:22.050Z,-22.3101,-67.4165,171.45,4.6,mb,,31,0.95,1.09,us,us2000i6un,2019-01-21T16:42:53.040Z,"106km NE of San Pedro de Atacama, Chile",earthquake,8,7.6,0.107,27,reviewed,us,us
2018-11-03T13:15:33.070Z,-38.1854,-75.3459,10,4.5,mb,,163,1.646,1.32,us,us2000i6ed,2019-01-21T14:29:45.040Z,"161km WSW of Lebu, Chile",earthquake,8.2,2,0.312,3,reviewed,us,us
2018-11-03T09:47:29.880Z,-23.9599,-66.8285,246.85,4.5,mb,,66,1.595,0.42,us,us2000i6ct,2019-01-21T14:29:45.040Z,"59km WNW of San Antonio de los Cobres, Argentina",earthquake,6.3,8.7,0.205,7,reviewed,us,us
2018-11-02T08:20:23.530Z,-30.2185,-67.4637,32.27,4.7,mww,,43,1.688,1.06,us,us2000i5s6,2019-01-21T14:29:43.040Z,"46km N of San Agustin de Valle Fertil, Argentina",earthquake,6.9,5.2,0.117,7,reviewed,us,us
2018-11-02T02:58:47.090Z,-22.834,-70.9837,13.14,4.5,mwr,,173,0.918,1.14,us,us2000i5qd,2019-01-21T14:29:43.040Z,"108km NNW of Antofagasta, Chile",earthquake,4.4,4.7,0.045,48,reviewed,us,us
2018-11-02T01:45:02.510Z,-22.8047,-70.922,13.43,4.5,mwr,,146,0.854,1.21,us,us2000i5pu,2019-01-21T14:29:43.040Z,"107km NNW of Antofagasta, Chile",earthquake,4.2,3.4,0.047,44,reviewed,us,us
2018-11-01T22:53:04.730Z,-27.1916,-71.2176,21.27,4.5,mwr,,136,0.785,0.92,us,us2000i5n5,2019-01-21T14:29:43.040Z,"89km WNW of Copiapo, Chile",earthquake,3.8,5,0.053,34,reviewed,us,us
2018-11-01T22:19:51.690Z,-19.5827,-69.2656,102,6.2,mww,,17,0.108,1.15,us,us2000i5mj,2019-01-28T16:53:32.707Z,"115km NE of Iquique, Chile",earthquake,5.4,1.8,0.048,41,reviewed,us,us
2018-11-01T06:31:08.440Z,-22.3124,-68.6905,98.45,4.8,mb,,46,0.361,1.03,us,us2000i55r,2019-01-21T14:29:42.040Z,"30km NE of Calama, Chile",earthquake,5.5,4.6,0.039,207,reviewed,us,us
2018-10-29T03:51:14.550Z,-36.6952,-74.3384,10,4.5,mb,,128,0.923,0.99,us,us1000hicz,2019-01-21T14:29:37.040Z,"109km W of Talcahuano, Chile",earthquake,5,1.9,0.156,12,reviewed,us,us
2018-10-27T15:46:43.690Z,-22.4808,-68.7144,109.83,4.5,mwr,,47,0.224,0.94,us,us1000hi0k,2019-01-10T17:18:39.040Z,"22km E of Calama, Chile",earthquake,3.6,4.2,0.05,38,reviewed,us,us
2018-10-27T12:13:16.630Z,-20.6476,-66.6735,245.07,4.8,mb,,43,2.38,1.24,us,us1000hhyp,2019-01-10T17:18:39.040Z,"26km SE of Uyuni, Bolivia",earthquake,7.7,7.1,0.048,136,reviewed,us,us
2018-10-25T11:19:35.530Z,-30.5926,-71.7118,35,4.7,mwr,,144,1.804,0.95,us,us1000hh05,2019-01-10T17:18:36.040Z,"49km W of Ovalle, Chile",earthquake,7.4,2,0.089,12,reviewed,us,us
2018-10-23T09:58:40.580Z,-28.7537,-67.2125,118.08,4.5,mb,,46,2.688,0.96,us,us1000hg0x,2019-01-10T17:18:34.040Z,"45km WSW of Arauco, Argentina",earthquake,5.1,7.8,0.068,63,reviewed,us,us
2018-10-18T23:42:07.470Z,-22.64,-68.5413,106.46,4.7,mwr,,54,0.342,1.33,us,us1000he6x,2018-12-21T22:27:05.040Z,"44km ESE of Calama, Chile",earthquake,6.2,4.8,0.065,23,reviewed,us,us
2018-10-18T21:55:43.160Z,-23.9662,-66.6543,194.14,4.7,mww,,38,1.726,0.75,us,us1000he52,2018-12-21T22:27:04.040Z,"44km NW of San Antonio de los Cobres, Argentina",earthquake,7,6.3,0.089,12,reviewed,us,us
2018-10-15T12:58:54.900Z,-24.019,-67.007,157.77,4.7,mww,,41,1.511,1.31,us,us1000hcay,2018-12-21T22:27:01.040Z,"73km WNW of San Antonio de los Cobres, Argentina",earthquake,7.4,6.9,0.089,12,reviewed,us,us
2018-10-12T03:58:16.330Z,-24.0737,-66.9008,183.77,4.6,mwr,,54,1.619,1.37,us,us1000haxl,2018-12-21T21:15:50.040Z,"61km WNW of San Antonio de los Cobres, Argentina",earthquake,9.1,8.8,,,reviewed,us,guc
2018-10-10T17:48:52.460Z,-38.1723,-73.8583,10,4.6,mb,,137,0.717,0.7,us,us1000ha59,2018-12-21T21:15:48.040Z,"57km SW of Canete, Chile",earthquake,5.1,1.9,0.173,10,reviewed,us,us
2018-10-08T17:24:25.730Z,-24.0066,-66.8296,196.32,4.5,mb,,54,1.623,0.92,us,us1000h8va,2018-12-21T21:15:47.040Z,"56km WNW of San Antonio de los Cobres, Argentina",earthquake,9.1,8.4,0.163,11,reviewed,us,us
2018-10-07T14:14:00.770Z,-30.6279,-71.7581,31.01,4.6,mb,,75,0.115,0.36,us,us1000h8ex,2018-12-14T20:32:36.040Z,"53km W of Ovalle, Chile",earthquake,4.3,5.5,0.146,14,reviewed,us,us
2018-10-04T23:21:56.750Z,-22.8387,-66.3988,242.29,4.9,mb,,59,1.645,0.87,us,us1000h7c7,2018-12-14T20:32:36.040Z,"73km W of Abra Pampa, Argentina",earthquake,5.6,10.2,0.132,18,reviewed,us,us
2018-10-03T02:54:50.950Z,-21.5197,-65.5928,285.25,4.6,mb,,26,2.787,1.09,us,us1000h61k,2018-12-14T20:32:40.040Z,"14km ESE of Tupiza, Bolivia",earthquake,8.3,6.5,0.036,234,reviewed,us,us
2018-10-01T18:03:55.150Z,-24.0753,-66.8351,202.93,4.7,mwr,,54,1.664,0.71,us,us1000h55a,2018-12-14T20:32:38.040Z,"54km WNW of San Antonio de los Cobres, Argentina",earthquake,8.9,6.7,,,reviewed,us,guc
2018-10-01T15:11:49.730Z,-45.7584,-75.8625,10,5.2,mww,,140,1.992,0.62,us,us1000h50j,2018-12-14T20:32:38.040Z,"239km W of Puerto Chacabuco, Chile",earthquake,8.4,1.9,0.053,34,reviewed,us,us
2018-10-01T14:45:25.240Z,-21.0669,-67.2876,171.46,4.6,mb,,130,1.96,1.42,us,us1000h7ml,2018-12-14T20:32:42.040Z,"82km SW of Uyuni, Bolivia",earthquake,9.3,9.6,0.544,2,reviewed,us,us
2018-09-28T13:49:53.120Z,-30.2309,-71.5087,42.05,4.6,mb,,131,0.389,0.81,us,us1000h3si,2018-12-01T16:41:31.040Z,"34km SSW of Coquimbo, Chile",earthquake,7.2,11.2,0.314,3,reviewed,us,us
2018-09-27T18:55:13.460Z,-21.5986,-68.2586,114.6,4.6,mb,,61,0.935,0.65,us,us1000h3ea,2018-12-01T16:41:30.040Z,"118km NE of Calama, Chile",earthquake,8.2,7,0.056,96,reviewed,us,us
2018-09-26T15:42:54.940Z,-21.5013,-68.3927,115.21,4.5,mwr,,44,0.842,1.15,us,us2000hk75,2018-12-01T16:45:29.040Z,"120km NNE of Calama, Chile",earthquake,4.8,5.1,0.075,17,reviewed,us,us
2018-09-23T19:06:29.690Z,-21.1209,-68.874,123.64,4.5,mwr,,53,0.578,1.15,us,us2000hj2n,2018-11-27T15:52:03.040Z,"149km N of Calama, Chile",earthquake,6.7,6.4,,,reviewed,us,guc
2018-09-23T05:32:11.460Z,-24.3507,-70.041,61.2,5.3,mww,,93,0.429,0.85,us,us2000hivv,2018-11-27T15:52:03.040Z,"85km SSE of Antofagasta, Chile",earthquake,4.9,4.9,0.057,30,reviewed,us,us
2018-09-22T13:13:59.240Z,-25.8996,-70.9383,28.41,5.4,mww,,113,0.393,1.05,us,us2000hin5,2018-11-27T15:52:02.040Z,"71km SW of Taltal, Chile",earthquake,5.5,3.6,0.055,32,reviewed,us,us
2018-09-19T18:42:21.450Z,-19.5404,-70.3888,62.58,5,mww,,97,0.765,0.68,us,us2000hh8t,2018-11-27T15:51:59.040Z,"79km NNW of Iquique, Chile",earthquake,4.6,4.3,0.089,12,reviewed,us,us
2018-09-19T14:02:18.790Z,-22.3833,-66.0503,266.6,4.5,mb,,47,2.045,0.91,us,us2000hh3i,2018-11-27T15:51:59.040Z,"52km NW of Abra Pampa, Argentina",earthquake,8.7,9.2,0.145,14,reviewed,us,us
2018-09-18T00:52:46.370Z,-24.1087,-66.895,193.6,4.5,mwr,,40,1.647,0.9,us,us2000hg5w,2018-11-27T15:51:58.040Z,"59km WNW of San Antonio de los Cobres, Argentina",earthquake,6.8,5.6,,,reviewed,us,guc
2018-09-17T16:29:16.920Z,-22.7645,-68.8136,117.97,4.5,mb,,81,0.175,0.64,us,us2000hfxa,2018-11-27T15:51:57.040Z,"35km SSE of Calama, Chile",earthquake,4.4,8.8,0.384,2,reviewed,us,us
2018-09-14T18:15:11.750Z,-32.5454,-71.6043,32.47,4.5,mwr,,68,0.259,0.98,us,us2000heqr,2018-11-21T18:19:11.040Z,"36km WSW of La Ligua, Chile",earthquake,4.7,4.4,0.039,63,reviewed,us,us
2018-09-14T10:50:37.900Z,-19.2439,-69.19,100.53,4.6,mb,,88,0.422,0.95,us,us2000hekj,2018-11-21T18:19:06.040Z,"122km SSE of Putre, Chile",earthquake,4.5,5.7,0.056,96,reviewed,us,us
